,0,1,2,3,4,5,6,7
 QUEEN#1#5,0,0,0,0,0,0,0,0
 QUEEN#1#4,0,0,0,0,0,0,0,0
 QUEEN#1#3,0,0,0,0,0,0,0,0
 QUEEN#1#2,0,0,0,0,0,0,0,0
 QUEEN#1#1,1,1,1,0,0,1,1,1
 QUEEN#1#0,0,0,0,0,0,0,0,0
 QUEEN#0#7,0,0,0,0,0,0,0,0
 QUEEN#0#6,0,0,0,0,0,0,0,0
 QUEEN#0#5,0,0,0,0,0,0,0,0
 QUEEN#0#4,1,1,1,1,0,0,0,0
 QUEEN#0#3,0,0,0,0,1,1,1,1
 QUEEN#0#2,0,0,0,0,0,0,0,0
 QUEEN#0#1,0,0,0,0,0,0,0,0
 QUEEN#0#0,0,0,0,0,0,0,0,0
 objval,3,3,3,3,3,3,3,3
