Walls,Value,Queens:
13835058055282163712,7,9232388041867265024
11529215046068469760,7,9232388041867265024
10376293541461622784,7,9232388041867265024
9799832789158199296,7,9232388041867265024
9511602413006487552,7,9232388041867265024
9367487224930631680,7,9232388041867265024
9259400833873739776,7,9232388041867265024
9241386435364257792,7,9232388041867265024
9232379236109516800,7,9232388041867265024
9227875636482146304,7,9232388041867265024
9225623836668461056,7,9232388041867265024
9224497936761618432,7,9232388041867265024
9223934986808197120,7,9232388041867265024
9223512774343131136,7,9232388041867265024
9223442405598953472,7,9232388041867265024
9223407221226864640,7,9232388041867265024
9223389629040820224,7,9232388041867265024
9223380832947798016,7,9232388041867265024
9223376434901286912,7,9232388041867265024
9223374235878031360,7,9232388041867265024
9223372586610589696,7,9232388041867265024
9223372311732682752,7,9232388041867265024
9223372174293729280,7,9232388041867265024
9223372105574252544,7,9232388041867265024
9223372071214514176,7,9232388041867265024
9223372054034644992,7,9232388041867265024
9223372045444710400,7,9232388041867265024
9223372039002259456,7,9232388041867265024
9223372037928517632,7,9232388041867265024
9223372037391646720,7,9232388041867265024
9223372037123211264,7,9232388041867265024
9223372036988993536,7,9232388041867265024
9223372036921884672,7,9232388041867265024
9223372036888330240,7,9232388041867265024
9223372036863164416,7,9232388041867265024
9223372036858970112,7,9232388041867265024
9223372036856872960,7,9232388041867265024
9223372036855824384,7,9232388041867265024
9223372036855300096,7,9232388041867265024
9223372036855037952,7,9232388041867265024
9223372036854906880,7,9232388041867265024
9223372036854808576,7,9232388041867265024
9223372036854792192,7,9232388041867265024
9223372036854784000,7,9232388041867265024
9223372036854779904,7,9232388041867265024
9223372036854777856,7,9232388041867265024
9223372036854776832,7,9232388041867265024
9223372036854776320,7,9232388041867265024
6917529027641081856,7,9232388041867265024
5764607523034234880,7,9232388041867265024
5188146770730811392,7,9232388041867265024
4899916394579099648,7,9232388041867265024
4755801206503243776,7,9232388041867265024
4647714815446351872,7,9232388041867265024
4629700416936869888,7,9232388041867265024
4620693217682128896,7,9232388041867265024
4616189618054758400,7,9232388041867265024
4613937818241073152,7,9232388041867265024
4612811918334230528,7,9232388041867265024
4612248968380809216,7,9232388041867265024
4611826755915743232,7,9232388041867265024
4611756387171565568,7,9232388041867265024
4611721202799476736,7,9232388041867265024
4611703610613432320,7,9232388041867265024
4611694814520410112,7,9232388041867265024
4611690416473899008,7,9232388041867265024
4611688217450643456,7,9232388041867265024
4611686568183201792,7,9232388041867265024
4611686293305294848,7,9232388041867265024
4611686155866341376,7,9232388041867265024
4611686087146864640,7,9232388041867265024
4611686052787126272,7,9232388041867265024
4611686035607257088,7,9232388041867265024
4611686027017322496,7,9232388041867265024
4611686020574871552,7,9232388041867265024
4611686019501129728,7,9232388041867265024
4611686018964258816,7,9232388041867265024
4611686018695823360,7,9232388041867265024
4611686018561605632,7,9232388041867265024
4611686018494496768,7,9232388041867265024
4611686018460942336,7,9232388041867265024
4611686018435776512,7,9232388041867265024
4611686018431582208,7,9232388041867265024
4611686018429485056,7,9232388041867265024
4611686018428436480,7,9232388041867265024
4611686018427912192,7,9232388041867265024
4611686018427650048,7,9232388041867265024
4611686018427518976,7,9232388041867265024
4611686018427420672,7,9232388041867265024
4611686018427404288,7,9232388041867265024
4611686018427396096,7,9232388041867265024
4611686018427392000,7,9232388041867265024
4611686018427389952,7,9232388041867265024
