Walls,Value,Queens:
14267403619509731328,8,594480098649833760
14195346025471803392,8,2485987028685295680
14159317228452839424,8,2452280372289867780
14141302829943357440,8,2488238794190372865
14132295630688616448,9,2488273982857428992
14127792031061245952,9,1243002432833851396
14125540231247560704,9,666550886826778628
14124414331340718080,8,1153211915263164420
14123851381387296768,9,1315053326722728992
14123569906410586112,9,2379044645117624896
14123429168922230784,9,2485991667375538448
14123358800178053120,9,1243002568200691714
14123323615805964288,9,2307056880790276097
14123306023619919872,9,1333100678436896776
14123297227526897664,9,2452211371761500168
14123292829480386560,9,1226140201177450624
14123290630457131008,9,738595286725689632
14123289530945503232,9,2379096882641109256
14123288981189689344,9,2485991667375538448
14123288706311782400,9,594476817797234704
14123288568872828928,9,2485988368834364432
14123288500153352192,9,2379044378946600976
14123288465793613824,9,74379850642753568
14123288448613744640,9,2306986784908706944
14123288440023810048,9,2452280370210538112
14123288435728842752,9,657666300285292546
14123288433581359104,9,657666351845868608
14123288432507617280,9,2452280368063070209
14123288431970746368,9,1261043098289571872
14123288431702310912,9,1154048643646373896
14123288431568093184,9,756622346783033408
14123288431500984320,9,2379096880635187204
14123288431467429888,9,2379096882641109512
14123288431450652672,9,1242995833683673096
14123288431442264064,8,738590888711757952
14123288431438069760,9,2450028600418897984
14123288431435972608,9,153123761997225992
14123288431434924032,9,76702068731154436
14123288431434399744,9,2452211098763673608
14123288431434137600,9,1225014301271162884
14123288431434006528,9,1315052210033264642
14123288431433940992,9,2452211646639374656
14123288431433908224,8,738590356093800576
14123288431433891840,8,666550346163684480
14123288431433883648,9,1261043098289571872
14123288431433879552,9,657525555260851216
14123288431433877504,9,1261016966701785608
14123288431433876480,9,1153519657186525444
14123288431433875968,9,1315052210033264642
14123288431433875712,8,148623191118979073
14123288431433875584,8,1315052210033264640
14123288431433875520,8,648536488320959520
14123288431433875488,8,612489618077516100
14123288431433875472,8,1333066864091471880
14123288431433875464,8,1226105138138187840
14123288431433875460,8,9011668168280130
14123288431433875458,8,2306987051079696960
14123288431433875457,8,1333100674140946440
14051230837395947520,8,1153493525606703105
14015202040376983552,8,1226105138138187840
13997187641867501568,8,1226105138138187840
13988180442612760576,9,2342157749049231392
13983676842985390080,9,1171226313772634116
13981425043171704832,9,612775492138960928
13980299143264862208,9,324549719187522064
13979736193311440896,8,1226245873512497160
13979454718334730240,9,684548312665300996
13979313980846374912,8,684565285839306816
13979243612102197248,9,666550886830441504
13979208427730108416,9,2308167447663870212
13979190835544064000,9,1243002432833851396
13979182039451041792,9,585609806010647048
13979177641404530688,9,364864171944476704
13979175442381275136,8,364792120110219840
13979174342869647360,9,2379044645117624896
13979173793113833472,9,657666351845868608
13979173518235926528,9,666550895919498304
13979173380796973056,9,1261043098289571872
13979173312077496320,9,594493301881635856
13979173277717757952,9,577041861915983873
13979173260537888768,9,306254125073571844
13979173251947954176,9,1153625333853848072
13979173247652986880,9,369297643362877456
13979173245505503232,9,657666351845868608
13979173244431761408,9,666550346172073024
13979173243894890496,9,1261043098289571872
13979173243626455040,9,612494017196720416
13979173243492237312,9,1153238199423238148
13979173243425128448,9,2379096880635187204
13979173243391574016,9,577094088742928912
13979173243374796800,9,2379096880635183376
13979173243366408192,8,1261007913917513760
13979173243362213888,8,594475159948166208
13979173243360116736,9,2308097558079340832
13979173243359068160,9,2380222842676580356
13979173243358543872,9,577094139796070408
13979173243358281728,9,2379096872045383684
13979173243358150656,9,2379096882641109512
13979173243358085120,9,378305118015586576
13979173243358052352,8,577094139745673220
13979173243358035968,8,2413929470063937600
13979173243358027776,9,1225014301270640672
13979173243358023680,9,1153519657186525456
13979173243358021632,9,2308097283197272328
13979173243358020608,9,1153519657186525444
13979173243358020096,8,657666292748386306
13979173243358019840,8,396325838179672065
13979173243358019712,8,2308095979406114820
13979173243358019648,8,288582290739693600
13979173243358019616,8,81205549035160080
13979173243358019600,8,2413947001184976900
13979173243358019592,8,1226105138138187840
13979173243358019588,8,1261043098289571840
13979173243358019586,8,2306986512044015625
13979173243358019585,8,577094139745673220
13943144446339055616,8,1153343751469401120
13925130047829573632,8,2342434760619462660
13916122848574832640,9,2342157749049231392
13911619248947462144,9,1171226313772634116
13909367449133776896,9,612788625612226568
13908241549226934272,9,324549719187522064
13907678599273512960,8,162130705426417666
13907397124296802304,8,148689190832316420
13907256386808446976,8,306247523977658640
13907186018064269312,8,1153660394674848000
13907150833692180480,9,585613224569737217
13907133241506136064,9,292806578451517441
13907124445413113856,9,2308167445581465728
13907120047366602752,9,1154083706651150464
13907117848343347200,9,148760660136960002
13907116748831719424,8,2306194863672262920
13907116199075905536,8,2341873180756574224
13907115924197998592,9,594493301881635904
13907115786759045120,9,2306424105542353952
13907115718039568384,9,148759697007317056
13907115683679830016,9,1153493529901670408
13907115666499960832,9,306254125073571844
13907115657910026240,9,146402726380584962
13907115653615058944,8,2306142626153236482
13907115651467575296,8,1188959372672245761
13907115650393833472,9,1170938241793212424
13907115649856962560,9,2307039314389762592
13907115649588527104,9,292804349489451136
13907115649454309376,9,1154188177469612033
13907115649387200512,9,297239845313986564
13907115649353646080,9,153263143089865232
13907115649336868864,8,148689160817877000
13907115649328480256,8,292804348952608800
13907115649324285952,8,1154082588928246080
13907115649322188800,9,2308097558079340832
13907115649321140224,9,1170938137044648976
13907115649320615936,9,577094139796070408
13907115649320353792,9,153127060397687824
13907115649320222720,9,153127060397690882
13907115649320157184,8,585608706247364609
13907115649320124416,8,594493293291701376
13907115649320108032,8,1170937037532955712
13907115649320099840,9,2308097283197272352
13907115649320095744,9,1153519657186525456
13907115649320093696,9,2308097283197272328
13907115649320092672,9,1153519657186525444
13907115649320092160,8,1153519657186525440
13907115649320091904,8,146402722084634640
13907115649320091776,8,1154048643611887680
13907115649320091712,8,2322186274738305
13907115649320091680,8,9016005012489345
13907115649320091664,8,2306987051079696960
13907115649320091656,8,1153343752505655330
13907115649320091652,8,2308097557873573905
13907115649320091650,8,2322186274738305
13907115649320091649,8,148689190832316420
13889101250810609664,8,1154048643611887680
13880094051555868672,8,2306160218389612546
13875590451928498176,9,1171507655606273056
13873338652114812928,9,595056242725494788
13872212752207970304,8,297528121354358786
13871649802254548992,8,1154048778945175560
13871368327277838336,8,73201361042808833
13871122036673216512,9,2307056880790276097
13871104444487172096,9,1154189379086991376
13871095648394149888,9,585609806010647048
13871091250347638784,9,297248845417681024
13871089051324383232,9,148760660136960002
13871087951812755456,8,90080928227004420
13871086921020604416,9,594493301881635856
13871086886660866048,9,577041861915983873
13871086869480996864,9,2306986784908706944
13871086860891062272,9,146402726380584962
13871086856596094976,8,90090134523355140
13871086852435345408,9,146402722353055808
13871086852368236544,9,297239845313986564
13871086852334682112,9,153263143089865232
13871086852317904896,8,74450200126627842
13871086852301389824,9,153127060397687824
13871086852301258752,9,153127060397690882
13871086852301193216,8,1154048778945167624
13871086852301128192,8,1153519657186525440
13871086852301127936,8,585608698710262785
13871086852301127681,8,2306987051079696960
13862079653046386688,9,2342157749049231392
13857576053419016192,9,1189266995372101636
13855324253605330944,9,622068494640615488
13854198353698488320,9,324549719187522064
13853635403745067008,8,184651983842576416
13853353928768356352,8,109230158027759624
13853213191280001024,9,2342170884133109768
13853142822535823360,8,613070108662693920
13853107638163734528,9,2342170882522497032
13853090045977690112,9,1189240847642657296
13853081249884667904,9,613070108662695968
13853076851838156800,9,333277642436644864
13853074652814901248,9,1189522053041102852
13853073553303273472,9,324549719137190416
13853073003547459584,9,1189522322625667073
13853072728669552640,8,2342157749049231360
13853072591230599168,9,2306424105542353952
13853072522511122432,9,2306142360113020936
13853072488151384064,9,182430973643735048
13853072470971514880,9,612775492138967044
13853072462381580288,9,153127064692592642
13853072458086612992,9,324549719137190416
13853072455939129344,9,1190077575964139528
13853072454865387520,9,2342999080663400464
13853072454328516608,9,2342157749049231392
13853072454060081152,9,1154048643646373896
13853072453925863424,9,612788625612226568
13853072453858754560,9,297239845313986564
13853072453825200128,9,153263143089865232
13853072453808422912,8,110340664772002080
13853072453800034304,8,333275443413127296
13853072453795840000,9,2342999080663400464
13853072453793742848,9,2342157749049231392
13853072453792694272,9,76702068731154436
13853072453792169984,9,621501216416925698
13853072453791907840,9,153127060397687824
13853072453791776768,9,153127060397690882
13853072453791711232,8,333275168536281089
13853072453791678464,8,1190111386978551936
13853072453791662080,8,2342157749049231360
13853072453791653888,9,2308097283197272352
13853072453791649792,9,1153519657186525456
13853072453791647744,9,2308165182134714888
13853072453791646720,9,1153519657186525444
13853072453791646208,8,2342157749049231360
13853072453791645952,8,576760369759141890
13853072453791645824,8,297240049576149000
13853072453791645760,8,2322186274738305
13853072453791645728,8,4505936160884865
13853072453791645712,8,333275177109438465
13853072453791645704,8,2342157749049231360
13853072453791645700,8,2342170881985626120
13853072453791645698,8,2341874039619850245
13853072453791645697,8,148689190832316420
13848568854164275200,9,2342188499978948612
13846317054350589952,9,613070108662695968
13845191154443747328,9,2342157749049231392
13844628204490326016,9,2342170882522497032
13844346729513615360,9,92326541677102096
13844205992025260032,9,2342452623267102752
13844135623281082368,9,2342157749049231392
13844100438908993536,9,2342157749049231392
13844082846722949120,9,1171507655606273056
13844074050629926912,9,2342188499978948612
13844069652583415808,9,324549719187522064
13844067453560160256,9,148760660136960002
13844066354048532480,9,2342188499962171396
13844065804292718592,9,2342469944921325576
13844065529414811648,9,2306970695961296912
13844065391975858176,9,2342157749049231392
13844065323256381440,9,1171507655606273056
13844065288896643072,9,612775492138960928
13844065271716773888,9,2306986784908706944
13844065263126839296,9,2344126079966380560
13844065258831872000,9,2342188499962171396
13844065256684388352,9,2342157749049231392
13844065255610646528,9,2307039314389762592
13844065255073775616,9,2342157749049231392
13844065254805340160,9,2306194923870750722
13844065254671122432,9,1154188177469612033
13844065254604013568,9,91216034430197764
13844065254570459136,9,2341874280219804176
13844065254553681920,9,594774227102532736
13844065254545293312,9,2344126080016744449
13844065254541099008,9,2307039286599352592
13844065254539001856,9,2342157749049231392
13844065254537953280,9,2344158794717728772
13844065254537428992,9,2344124774279678016
13844065254537166848,9,2342157749049231392
13844065254537035776,9,328765006202012192
13844065254536970240,9,2342999080665350416
13844065254536937472,9,2342157749049231392
13844065254536921088,9,595056243245122624
13844065254536912896,9,2306970148219666952
13844065254536908800,9,2306987051079713296
13844065254536906752,9,1171507653533245448
13844065254536905728,9,2306986776201798272
13844065254536905216,9,2342157749049231392
13844065254536904960,9,2342157749049231392
13844065254536904832,9,2342157749049231392
13844065254536904768,9,2342157749049231392
13844065254536904736,9,2342170882522497032
13844065254536904720,9,2308097558079078692
13844065254536904712,9,2342157749049231392
13844065254536904708,9,2308097282997780497
13844065254536904706,9,2306986512046098497
13844065254536904705,9,2342157749049231392
13841813454723219456,9,1171226313772634116
13840687554816376832,9,324549719187522064
13840124604862955520,9,1189266995372101636
13839843129886244864,9,92326541677102096
13839702392397889536,9,2342170884133109768
13839632023653711872,9,1171507655606273056
13839596839281623040,9,2342170882522497032
13839579247095578624,9,1171226313772634116
13839570451002556416,9,612775492138960928
13839566052956045312,10,1172080514050295810
13839563853932789760,9,586171656200785922
13839562754421161984,9,297659792439116296
13839562204665348096,9,2342170884133109768
13839561929787441152,9,20267865307496464
13839561792348487680,9,2342170882522497032
13839561723629010944,9,1171516451699295264
13839561689269272576,9,1189522052035395592
13839561672089403392,9,1171498994871861256
13839561663499468800,10,1171507793044312068
13839561659204501504,9,1172063040008356104
13839561657057017856,9,1189522322625667073
13839561655983276032,10,1172063042155855880
13839561655446405120,9,1154082624353894432
13839561655177969664,9,595055710151147536
13839561655043751936,10,1171226313840656904
13839561654976643072,10,1172062939076625440
13839561654943088640,9,1171507788749344772
13839561654926311424,9,1172063040008356224
13839561654917922816,9,1189531118777499680
13839561654913728512,9,2306476396706334784
13839561654911631360,9,155375561802522752
13839561654910582784,9,1189266995372101636
13839561654910058496,9,1190111421339336706
13839561654909796352,9,91216034430197764
13839561654909665280,9,297659796734083592
13839561654909599744,9,1189240847642657296
13839561654909566976,9,1189266995372101636
13839561654909550592,9,586171708793226304
13839561654909542400,9,595056243245122592
13839561654909538304,9,2342998841085657616
13839561654909536256,9,2308165182134714888
13839561654909535232,9,324575866916966404
13839561654909534720,9,1172062936936488962
13839561654909534464,9,2342452365572966401
13839561654909534336,9,1189240847642657296
13839561654909534272,9,1171226311625150596
13839561654909534240,9,1154065271611728001
13839561654909534224,9,1189530860949342241
13839561654909534216,9,1189240847642657296
13839561654909534212,9,1154065271611728001
13839561654909534210,9,1190094068630167561
13839561654909534209,9,1189266995372101636
13838435755002691584,9,293156325754405384
13837872805049270272,9,612788625612226568
13837591330072559616,9,613070108662695968
13837450592584204288,9,612788625612226568
13837380223840026624,9,594774767769224224
13837345039467937792,10,586180572548960320
13837327447281893376,9,585609806010647048
13837318651188871168,9,612775492138960928
13837314253142360064,9,1154083706651150464
13837312054119104512,9,148760660136960002
13837310954607476736,9,585753894374672386
13837310404851662848,9,612788625612226568
13837310129973755904,10,595056259909027872
13837309992534802432,9,2342157749049231392
13837309923815325696,9,594493309951934992
13837309889455587328,9,612788625612226568
13837309872275718144,9,594756669284549648
13837309863685783552,9,1171507793044307972
13837309859390816256,9,594774227102532736
13837309857243332608,9,612788625612226568
13837309856169590784,9,1170938241793212424
13837309855632719872,10,586171708810469380
13837309855364284416,10,613070109195911184
13837309855230066688,9,594761574129336848
13837309855162957824,9,585753894408683524
13837309855129403392,10,586171657270854160
13837309855112626176,9,612788625612226568
13837309855104237568,9,612775492138960928
13837309855100043264,9,306535185317511184
13837309855097946112,9,2342157749049231392
13837309855096897536,9,2342452352805507076
13837309855096373248,9,576812630929575938
13837309855096111104,9,577041844337181728
13837309855095980032,9,306247008589516802
13837309855095914496,9,612775492138960928
13837309855095881728,9,612788625612226568
13837309855095865344,9,595056243245122624
13837309855095857152,9,1189548453152163872
13837309855095853056,9,585608706243707408
13837309855095851008,9,585753825655685648
13837309855095849984,9,292804353249542404
13837309855095849472,9,594479686333006088
13837309855095849216,9,612788625612226568
13837309855095849088,9,613070108662695968
13837309855095849024,9,612775492138960928
13837309855095848992,9,585758232291574928
13837309855095848976,9,613070108645918753
13837309855095848968,9,612775492138960928
13837309855095848964,9,585476757315912833
13837309855095848962,9,595056242725494788
13837309855095848961,9,595056242725494788
13836746905142427648,9,324575866916966404
13836465430165716992,8,2341874039636627460
13836324692677361664,9,324575866916966404
13836254323933184000,9,595056243245122624
13836219139561095168,9,2342157749049231392
13836201547375050752,9,293156325754405384
13836192751282028544,9,585613091526414338
13836188353235517440,9,324296590946734084
13836186154212261888,9,153264241783079432
13836185054700634112,9,2308446659190853636
13836184504944820224,9,324575866916966404
13836184230066913280,9,297659856625090564
13836184092627959808,9,2342157749049231392
13836184023908483072,9,1171507655606273056
13836183989548744704,9,585469138043013248
13836183972368875520,9,612775492138967044
13836183963778940928,9,2308728202887036932
13836183959483973632,9,297528121371136002
13836183957336489984,9,297659796730183688
13836183956262748160,9,594774767769224224
13836183955725877248,9,2342157749049231392
13836183955457441792,9,2308446723615363076
13836183955323224064,9,1153238199423238148
13836183955256115200,9,297523519330713604
13836183955222560768,9,148759560642109442
13836183955205783552,9,2308728132088135681
13836183955197394944,9,297659796730183688
13836183955193200640,9,1171226313772646404
13836183955191103488,9,2342157749049231392
13836183955190054912,9,306535595755315204
13836183955189530624,9,297246382238220296
13836183955189268480,9,324575866916966404
13836183955189137408,9,146402722085683202
13836183955189071872,9,293085828627038472
13836183955189039104,9,324575866916966404
13836183955189022720,9,292804353249542404
13836183955189014528,9,293020399095513664
13836183955189010432,9,1153519657186525456
13836183955189008384,9,1171507653533245448
13836183955189007360,9,1153519657186525444
13836183955189006848,9,1171507653533245442
13836183955189006592,9,2308728132088135681
13836183955189006464,9,324549719187522064
13836183955189006400,9,324549719187522064
13836183955189006368,9,324575866916966404
13836183955189006352,9,297246646394425474
13836183955189006344,9,324549719187522064
13836183955189006340,9,297242248465186834
13836183955189006338,9,324549719187522064
13836183955189006337,9,324575866916966404
13835902480212295680,8,90081338664820740
13835761742723940352,9,2342170884133109768
13835691373979762688,9,148760660136960002
13835656189607673856,9,2342157749049231392
13835638597421629440,9,1154189379086991376
13835629801328607232,9,585609806010647048
13835625403282096128,9,2307267987020988424
13835623204258840576,9,162148297612462082
13835622104747212800,9,2308446659190853636
13835621554991398912,9,2342170884133109768
13835621280113491968,9,162132472870551568
13835621142674538496,9,2342157749049231392
13835621073955061760,9,148759697007317056
13835621039595323392,9,146402726380584962
13835621022415454208,9,146402726380584962
13835621013825519616,9,146402726380584962
13835621009530552320,9,324549719137190416
13835621007383068672,8,1189266995367936004
13835621006309326848,9,2308446723615375364
13835621005772455936,9,2342157749049231392
13835621005504020480,9,153263143089865232
13835621005369802752,9,162147198117611522
13835621005302693888,9,148759560642109442
13835621005269139456,9,297659796734083592
13835621005252362240,9,594774227102532736
13835621005243973632,8,76701966587428896
13835621005239779328,9,148689160819966528
13835621005237682176,9,2342157749049231392
13835621005236633600,9,1189266995372101636
13835621005236109312,9,612788625612226568
13835621005235847168,9,324575866916966404
13835621005235716096,9,162147189510965250
13835621005235650560,8,1189240847642656769
13835621005235617792,8,2342157749049231360
13835621005235601408,8,2342157749049231360
13835621005235593216,9,2308097283197272352
13835621005235589120,9,293016001049018896
13835621005235587072,9,297659856625090568
13835621005235586048,9,324575866916966404
13835621005235585536,8,73218687183620160
13835621005235585280,8,2342157954133921793
13835621005235585152,8,2306987051079696960
13835621005235585088,8,153124861231826064
13835621005235585056,8,146368362279346306
13835621005235585040,8,148759662697644616
13835621005235585032,9,146402722084634642
13835621005235585028,9,146402722084634642
13835621005235585026,8,146507725413549121
13835621005235585025,8,297659856625090560
13835480267747229696,8,612490666550902800
13835409899003052032,8,2341874075049656580
13835374714630963200,9,585613224569737217
13835357122444918784,9,74452400156509216
13835348326351896576,9,585609806010647048
13835343928305385472,9,73219796082231424
13835341729282129920,9,162148297612462082
13835340629770502144,8,1154188177435598850
13835340080014688256,8,108088659873433632
13835339805136781312,9,90090151690111008
13835339667697827840,9,2306424105542353952
13835339598978351104,9,73201369732972560
13835339564618612736,9,577041861399545888
13835339547438743552,9,2306986784908706944
13835339538848808960,9,90080932521971716
13835339534553841664,8,1154048538427006977
13835339532406358016,8,90081338471751682
13835339531332616192,9,74379782460149761
13835339530795745280,9,81205600591552516
13835339530527309824,9,74379833497355296
13835339530393092096,9,76631567316812296
13835339530325983232,9,81205549051937296
13835339530292428800,9,148759560642109442
13835339530275651584,8,180145359620669712
13835339530267262976,8,148759530560823424
13835339530263068672,9,81073864289030208
13835339530260971520,9,74345128018313504
13835339530259922944,9,1170938137044648976
13835339530259398656,9,74345128050886658
13835339530259136512,9,2341876208712683524
13835339530259005440,9,146402722085683202
13835339530258939904,8,148689190832316417
13835339530258907136,8,73201635920715777
13835339530258890752,8,2341874039636627460
13835339530258882560,9,2308097283197272352
13835339530258878464,9,1153519657186525456
13835339530258876416,9,594479686333006088
13835339530258875392,9,1153519657186525444
13835339530258874880,8,76631570999681288
13835339530258874624,8,1188959102083007040
13835339530258874496,8,73201635920715777
13835339530258874432,8,73201635920715777
13835339530258874400,8,76701935515730504
13835339530258874384,9,76631566838824996
13835339530258874376,9,76631566838824996
13835339530258874372,8,81073599049368593
13835339530258874370,8,108086409310636065
13835339530258874369,8,148689190832316420
13835269161514696704,8,180145224193949704
13835233977142607872,9,2306199321848186912
13835216384956563456,9,1188986603763302416
13835207588863541248,9,1188986603763271808
13835203190817030144,9,324270443181904000
13835200991793774592,9,2341877374657890368
13835199892282146816,8,1153493390239990080
13835199342526332928,8,594492752125822080
13835199067648425984,9,612507708465087008
13835198930209472512,9,297246655244148737
13835198861489995776,9,2306987059924961281
13835198827130257408,9,2341889956902863108
13835198809950388224,9,2306986784908706944
13835198801360453632,9,153127064692592642
13835198797065486336,8,594476267523309570
13835198794918002688,8,1170938239645714560
13835198793844260864,9,1170938241793212424
13835198793307389952,9,180179204918247456
13835198793038954496,9,74379833497355296
13835198792904736768,9,1153238199423238148
13835198792837627904,9,297239845313986564
13835198792804073472,9,162147198117611522
13835198792787296256,8,2306476332348870660
13835198792778907648,8,2341876210722669064
13835198792774713344,9,1188959372674335296
13835198792772616192,9,288547585529088032
13835198792771567616,9,2341876208716877888
13835198792771043328,9,2341872941179109378
13835198792770781184,9,2341876479299817473
13835198792770650112,9,146402722085683202
13835198792770584576,8,76563942515673089
13835198792770551808,8,594480098649833760
13835198792770535424,8,108095462103319104
13835198792770527232,9,2308097283197272352
13835198792770523136,9,1153519657186525456
13835198792770521088,9,594479686333006088
13835198792770520064,9,1153519657186525444
13835198792770519552,8,1188952501723103520
13835198792770519296,8,577094088206061569
13835198792770519168,8,297246377942990850
13835198792770519104,9,612507158709273248
13835198792770519072,9,1188959103087681668
13835198792770519056,9,180179203851817028
13835198792770519048,9,612490718627373188
13835198792770519044,8,1188959372596879489
13835198792770519042,8,612493947914162241
13835198792770519041,8,90090134523355140
13835163608398430208,9,585613224569737217
13835146016212385792,9,1153660394674848016
13835137220119363584,9,585609806010647048
13835132822072852480,9,1154224460279055424
13835130623049596928,9,148760660136960002
13835129523537969152,9,576887500291706881
13835128973782155264,9,585609857319568448
13835128698904248320,9,594476817797234704
13835128561465294848,9,1154223361807687682
13835128492745818112,9,1153660394674848016
13835128458386079744,9,1170944978457731080
13835128441206210560,9,4648876967461384
13835128432616275968,9,153264242584715792
13835128428321308672,9,288687781851431176
